,Unnamed: 0,title,engine_fuel,engine_volume,transmition,drive_unit,region,link,price_uan,price_usd
6,11,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861235.html,2 445 016 грн,88500
9,26,Audi Q3 2021  S-Line 35 TFSI S-tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-audi-q3-1861582.html,1 478 061 грн,53500
11,29,Audi Q2 2021   35 TFSI S-Tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-audi-q2-1861653.html,1 353 308 грн,48984
17,44,Audi A6 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-a6-1858134.html,1 920 097 грн,69500
22,55,Audi Q5 2021  S-Line 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1860768.html,1 986 976 грн,71921
25,59,Audi S6 2020  Basis 3.0 TDI Tiptronic (349 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s6-1851165.html,2 369 540 грн,85768
27,62,Audi Q5 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1859594.html,2 020 350 грн,73129
29,64,Audi A7 2021  S-Line Sportback 45 TFSI S-tronic (245 к.с) Quattro,Бензин,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-a7-1860291.html,2 310 234 грн,83621
33,70,Audi Q5 2021  S-Line 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1860769.html,1 986 976 грн,71921
45,85,Audi Q5 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1858487.html,2 220 592 грн,80377
